user_id,cond,Create New Field or Choose From Dropdown...,UES,Realism,Trust,Persuasion
6621a2f38453311275d17d65,avatar,,5.0,5.25,5.0,6.666666666666667
662948ed99960b11f2f8e3fe,voice,,3.6666666666666665,5.0,2.727272727272727,4.0
6630ff1a437b51ceddadb038,avatar,,4.111111111111111,6.25,4.363636363636363,4.0
6633a48b83e72a859fde7144,avatar,,4.111111111111111,5.25,2.5454545454545454,4.0
663817b7de64fca4fb45a414,voice,,2.111111111111111,2.75,2.272727272727273,1.0
663a3ec623585cdc234e2dc5,text,,4.111111111111111,4.75,4.2727272727272725,5.666666666666667
663a4e1d7e5525f5851d04c5,text,,4.0,5.75,3.909090909090909,5.0
663a7af013938e6bbfb065d5,text,,4.0,5.5,2.6363636363636362,2.0
663aa6420a964c2a7740b9d7,avatar,,3.7777777777777777,5.0,3.6363636363636362,5.0
6643cbd6903cfc9bd5d0be09,text,,3.4444444444444446,4.75,4.0,2.0
66463e4efb99fba5a67a010a,text,,4.444444444444445,5.5,4.7272727272727275,5.0
664e835c732628231a08fff5,avatar,,5.0,6.0,3.909090909090909,7.0
66553eb5f10b5700001d20de,voice,,3.888888888888889,5.25,3.4545454545454546,4.0
666559e634fffd1ce19ba654,voice,,5.0,6.75,4.818181818181818,7.0
66709a4a49e9bb2c80c53c27,voice,,3.888888888888889,6.75,4.363636363636363,4.0
6673023f164ea88cbe14e203,control,,4.555555555555555,5.5,4.7272727272727275,5.333333333333333
667dc21819f1e0f06520b7e0,control,,1.8888888888888888,3.0,3.1818181818181817,3.3333333333333335
668bf688d58206e61f399a88,voice,,4.111111111111111,6.5,4.454545454545454,6.0
66a02d45a7db35d93c9f6a81,avatar,,2.6666666666666665,4.0,1.9090909090909092,2.6666666666666665
66a9979ad8c56c6f29446781,avatar,,5.0,5.5,4.181818181818182,4.666666666666667
66ca18ce20c4af7baa912758,avatar,,3.7777777777777777,6.0,4.0,5.0
66e9b926c782e4f47a05ec7c,control,,4.0,5.5,4.454545454545454,5.0
66ecded667f721bca7e5609d,text,,4.555555555555555,7.0,5.0,6.0
66f1b4e2d875c6785ca1d50a,control,,4.0,2.5,4.0,1.0
67042cdf06ed4052bdf44c07,avatar,,5.0,6.5,4.818181818181818,7.0
6711e09a6906af2fa5b782bd,control,,4.222222222222222,5.75,3.3636363636363638,5.0
671b277a6d04904df5f9503b,avatar,,5.0,5.5,4.0,4.0
