StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,anxious,overwhelmed,unmotivated,relaxed,energetic,motivated,AHS1,AHS2,AHS3,AHS4,AHS5,AHS6,AHS7,AHS8,AHS9,AHS10,AHS11,AHS12,FSQ_Similarity1,FSQ_Similarity2,FSQ_Similarity3,FSQ_Similarity4,FSQ_Vividness1,FSQ_Vividness2,FSQ_Vividness3,FSQ_Positivity1,FSQ_Positivity2,FSQ_Positivity3,user_id,cond
2025-10-06 17:02:02,2025-10-06 17:04:37,0,24.229.163.152,100,155,1,2025-10-06 17:04:37,R_66kDMxDHTbRlgZt,,,,,40.5929,-75.1025,anonymous,EN,1,5,5,5,5,2,2,6,3,6,5,3,4,5,6,3,3,6,3,5,5,5,5,2,1,2,2,4,4,6625ac4d6f5a636552f8adf0,voice
2025-10-06 17:01:39,2025-10-06 17:06:03,0,96.234.36.212,100,264,1,2025-10-06 17:06:03,R_1o0xFinEgiOqwEx,,,,,40.9373,-74.1563,anonymous,EN,1,5,5,4,4,3,3,6,5,6,5,3,7,6,5,6,3,7,6,3,4,3,4,2,2,1,3,3,3,5ac5260dfa3b4e0001736dd3,avatar
2025-10-06 17:05:43,2025-10-06 17:07:38,0,24.186.234.117,100,115,1,2025-10-06 17:07:39,R_5lsLSpJZt07MO36,,,,,41.0641,-73.548,anonymous,EN,1,1,1,1,1,1,1,7,8,4,6,5,7,5,7,7,6,7,8,3,5,5,5,1,1,1,1,1,1,6745731e75a88802a56be3ef,voice
2025-10-06 17:08:09,2025-10-06 17:10:14,0,136.52.20.104,100,125,1,2025-10-06 17:10:14,R_1y3r6L0WmQ9iA3n,,,,,33.7389,-117.748,anonymous,EN,1,5,5,4,3,4,4,6,6,5,5,4,6,6,6,6,6,6,6,2,2,2,2,3,3,3,3,4,4,671eefb130967a416003ffea,voice
2025-10-06 17:07:54,2025-10-06 17:10:35,0,108.53.131.245,100,161,1,2025-10-06 17:10:35,R_7MXtVRFrjARCNPo,,,,,40.3209,-74.4208,anonymous,EN,1,5,4,2,4,4,5,5,7,5,7,5,7,7,5,6,7,6,5,3,4,3,4,2,3,2,2,3,2,6789ac8527bbce25fe21a7a4,voice
2025-10-06 17:07:41,2025-10-06 17:13:28,0,216.49.22.156,100,347,1,2025-10-06 17:13:29,R_3hXzI4Pv2PSzYMq,,,,,41.0274,-76.0036,anonymous,EN,1,3,4,1,6,3,7,5,8,8,6,5,6,8,5,1,4,8,8,2,2,1,4,2,1,4,2,2,3,60c8467d9872c0d83f695499,avatar
2025-10-06 17:11:47,2025-10-06 17:13:46,0,172.222.32.30,100,119,1,2025-10-06 17:13:47,R_7URtLwPivFqzNM5,,,,,45.0617,-83.4327,anonymous,EN,1,1,1,1,6,5,7,5,8,2,8,2,8,5,8,8,8,2,7,4,4,4,5,3,3,2,5,4,4,60ce89c7357eeffe77fca946,avatar
2025-10-06 17:10:44,2025-10-06 17:14:09,0,67.176.200.194,100,204,1,2025-10-06 17:14:09,R_3EBkArXTz4upri3,,,,,41.6904,-87.6157,anonymous,EN,1,1,1,1,6,4,5,7,5,6,5,2,5,5,5,4,3,1,5,5,5,5,5,4,2,2,3,5,5,5e850b0e390e520ec806b084,text
2025-10-06 17:13:41,2025-10-06 17:16:36,0,173.217.84.215,100,175,1,2025-10-06 17:16:37,R_6cnpWGzSpwEo2Ok,,,,,30.2159,-93.3585,anonymous,EN,1,5,4,3,5,4,6,8,5,5,8,4,8,7,6,6,4,7,8,3,3,4,5,3,1,2,3,3,3,67062295123561f8241f65fc,text
2025-10-06 17:14:44,2025-10-06 17:18:23,0,174.228.230.88,100,218,1,2025-10-06 17:18:23,R_1DqIfrMc6JmU1Y2,,,,,39.7513,-74.9999,anonymous,EN,1,5,5,3,4,5,5,5,4,4,6,6,5,6,5,6,3,7,3,2,3,2,4,2,3,2,3,3,3,57656f6c2bfddf000125cce5,avatar
