Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e447e78f25dbdc86df577e,5f4a7a00dc1bde60ab8f7ac5,RETURNED,Not Applicable,2025-10-06T22:51:19.688000Z,,,2025-10-09T14:48:00.415917Z,,,14388,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44803d4568b7382fe4d87,65e122e74d202ea19cde5055,APPROVED,Not Applicable,2025-10-06T22:51:52.105000Z,2025-10-06T23:17:08.595000Z,2025-10-27T00:03:37.142000Z,2025-10-06T23:17:09.041667Z,1517.0,CUKPH3D8,330,34,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
68e449d034a535066835f76e,608981c1be83df6a5452398e,RETURNED,Not Applicable,,,,2025-10-09T14:48:00.416269Z,,,4286,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44ba86bc350df7194deba,66611f308ccb44ab7f21984e,RETURNED,Not Applicable,2025-10-06T23:18:00.011000Z,,,2025-10-09T14:48:00.419264Z,,,724,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44c61da9e5320c7503d09,5e850b0e390e520ec806b084,APPROVED,Not Applicable,2025-10-06T23:10:38.131000Z,2025-10-06T23:58:05.605000Z,2025-10-27T00:03:37.551000Z,2025-10-06T23:58:06.037997Z,2848.0,CUKPH3D8,4374,40,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e44d40037c3fda94b13284,62bb42e2f21cfdb280cc975f,APPROVED,Not Applicable,2025-10-06T23:14:12.277000Z,2025-10-07T00:42:30.689000Z,2025-10-28T00:03:00.433000Z,2025-10-07T00:42:31.059600Z,5299.0,CUKPH3D8,7436,30,Female,Other,United States,United States,United States,English,Yes,Full-Time
68e44d93f07c51a145682950,6722ae0741429fa41d8893db,RETURNED,Not Applicable,2025-10-06T23:16:10.068000Z,,,2025-10-09T14:48:00.422131Z,,,1070,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44d9dad70c3f71e575d69,663a3ec623585cdc234e2dc5,APPROVED,Not Applicable,2025-10-06T23:15:45.534000Z,2025-10-07T00:43:44.508000Z,2025-10-28T00:03:01.027000Z,2025-10-07T00:43:44.905205Z,5279.0,CUKPH3D8,1455,33,Female,White,Belarus,United States,United States,Russian,No,Full-Time
68e4510ea3bc6c37001372cb,6522bba9f065408008c70eb3,RETURNED,Not Applicable,2025-10-06T23:41:00.017000Z,,,2025-10-09T14:48:02.100876Z,,,2565,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e4514582874c72966af801,663a7af013938e6bbfb065d5,APPROVED,Not Applicable,2025-10-06T23:34:27.684000Z,2025-10-07T00:23:01.162000Z,2025-10-28T00:03:01.432000Z,2025-10-07T00:23:01.569803Z,2914.0,CUKPH3D8,3580,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
